,orders.id,orders.name,orders.line_items.id,orders.fulfillment_status,orders.line_items.sku,orders.line_items.quantity,orders.line_items.fulfillment_status,orders.line_items.fulfillable_quantity,,,,,,,
5578073-24385052,1227602722945,#5578073,2616947081345,partial,24385052,1,pending,1,,,,,,,
5578073-793906,1227602722945,#5578073,2616947114113,partial,793906,1,fulfilled,0,,,,,,,
5578053-180971,1227602067585,#5578053,2616945737857,partial,180971,1,fulfilled,0,,,,,,,
5578053-27344,1227602067585,#5578053,2616945770625,partial,27344,1,fulfilled,0,,,,,,,
5578053-887592,1227602067585,#5578053,2616945803393,partial,887592,1,pending,1,,,,,,,
5578053-1674518,1227602067585,#5578053,2616945836161,partial,1674518,2,pending,2,,,,,,,
5578053-937956,1227602067585,#5578053,2616945868929,partial,937956,1,pending,1,,,,,,,
5578053-470745,1227602067585,#5578053,2616945901697,partial,470745,1,pending,1,,,,,,,
5578053-761482,1227602067585,#5578053,2616945934465,partial,761482,2,pending,2,,,,,,,
5577990-621475,1227600003201,#5577990,2616940298369,partial,621475,1,pending,1,,,,,,,
5577990-687116,1227600003201,#5577990,2616940331137,partial,687116,2,pending,2,,,,,,,
5577990-2406249,1227600003201,#5577990,2616940363905,partial,2406249,1,pending,1,,,,,,,
5577990-582353,1227600003201,#5577990,2616940396673,partial,582353,1,fulfilled,0,,,,,,,
5577990-920556,1227600003201,#5577990,2616940429441,partial,920556,1,pending,1,,,,,,,
5577990-2933822,1227600003201,#5577990,2616940462209,partial,2933822,1,fulfilled,0,,,,,,,
5577990-2943522,1227600003201,#5577990,2616940494977,partial,2943522,1,pending,1,,,,,,,
5577990-2943520,1227600003201,#5577990,2616940527745,partial,2943520,1,pending,1,,,,,,,
5577990-ecofee-sku-1,1227600003201,#5577990,2616940560513,partial,ecofee-sku-1,1,pending,1,,,,,,,
5577959-682380,1227598987393,#5577959,2616937775233,partial,682380,1,pending,1,,,,,,,
5577959-619853,1227598987393,#5577959,2616937808001,partial,619853,1,pending,1,,,,,,,
5577959-380479,1227598987393,#5577959,2616937840769,partial,380479,1,pending,1,,,,,,,
5577959-2427123,1227598987393,#5577959,2616937873537,partial,2427123,1,fulfilled,0,,,,,,,
5577959-10113,1227598987393,#5577959,2616937906305,partial,10113,1,fulfilled,0,,,,,,,
5577840-966150,1227595088001,#5577840,2616929157249,partial,966150,1,fulfilled,0,,,,,,,
5577840-14336,1227595088001,#5577840,2616929190017,partial,14336,1,pending,1,,,,,,,
5577840-488764,1227595088001,#5577840,2616929222785,partial,488764,1,pending,1,,,,,,,
5577840-432039,1227595088001,#5577840,2616929255553,partial,432039,1,pending,1,,,,,,,
5577840-496814,1227595088001,#5577840,2616929288321,partial,496814,1,fulfilled,0,,,,,,,
5577803-12941,1227593875585,#5577803,2616924897409,partial,12941,1,fulfilled,0,,,,,,,
5577803-788848,1227593875585,#5577803,2616924930177,partial,788848,3,pending,3,,,,,,,
5577803-37737,1227593875585,#5577803,2616924962945,partial,37737,2,pending,2,,,,,,,
5577803-13533,1227593875585,#5577803,2616924995713,partial,13533,2,fulfilled,0,,,,,,,
5577790-711328,1227593449601,#5577790,2616923652225,partial,711328,1,fulfilled,0,,,,,,,
5577790-20672,1227593449601,#5577790,2616923684993,partial,20672,1,pending,1,,,,,,,
5577790-13596,1227593449601,#5577790,2616923717761,partial,13596,2,pending,2,,,,,,,
5577790-21295,1227593449601,#5577790,2616923750529,partial,21295,3,pending,3,,,,,,,
5577790-575671,1227593449601,#5577790,2616923783297,partial,575671,1,pending,1,,,,,,,
5577790-33603,1227593449601,#5577790,2616923816065,partial,33603,1,pending,1,,,,,,,
5577790-613569,1227593449601,#5577790,2616923848833,partial,613569,1,pending,1,,,,,,,
5577790-579134,1227593449601,#5577790,2616923881601,partial,579134,6,fulfilled,0,,,,,,,
5577790-11637,1227593449601,#5577790,2616923914369,partial,11637,2,pending,2,,,,,,,
5577762-2646978,1227592532097,#5577762,2616921227393,partial,2646978,1,fulfilled,0,,,,,,,
5577762-2941997,1227592532097,#5577762,2616921260161,partial,2941997,1,pending,1,,,,,,,
5577762-2943526,1227592532097,#5577762,2616921292929,partial,2943526,1,pending,1,,,,,,,
5577743-2948498,1227591909505,#5577743,2616919392385,partial,2948498,1,fulfilled,0,,,,,,,
5577743-709247,1227591909505,#5577743,2616919425153,partial,709247,1,fulfilled,0,,,,,,,
5577743-2956324,1227591909505,#5577743,2616919457921,partial,2956324,1,fulfilled,0,,,,,,,
5577743-2862648,1227591909505,#5577743,2616919490689,partial,2862648,1,fulfilled,0,,,,,,,
5577743-24377262,1227591909505,#5577743,2616919523457,partial,24377262,1,pending,1,,,,,,,
5577743-959170,1227591909505,#5577743,2616919556225,partial,959170,2,fulfilled,0,,,,,,,
5577743-582353,1227591909505,#5577743,2616919588993,partial,582353,5,fulfilled,0,,,,,,,
5577743-2942996,1227591909505,#5577743,2616919621761,partial,2942996,1,fulfilled,0,,,,,,,
5577686-14336,1227590041729,#5577686,2616915001473,partial,14336,6,fulfilled,0,,,,,,,
5577686-966150,1227590041729,#5577686,2616915034241,partial,966150,1,fulfilled,0,,,,,,,
5577686-120741,1227590041729,#5577686,2616915067009,partial,120741,1,pending,1,,,,,,,
5577686-39743,1227590041729,#5577686,2616915099777,partial,39743,2,pending,2,,,,,,,
5577684-2926091,1227589976193,#5577684,2616914903169,partial,2926091,1,fulfilled,0,,,,,,,
5577684-2895373,1227589976193,#5577684,2616914935937,partial,2895373,1,pending,1,,,,,,,
5577679-1056954,1227589812353,#5577679,2616914280577,partial,1056954,2,pending,2,,,,,,,
5577679-497417,1227589812353,#5577679,2616914313345,partial,497417,1,pending,1,,,,,,,
5577679-646953,1227589812353,#5577679,2616914346113,partial,646953,1,pending,1,,,,,,,
5577679-685077,1227589812353,#5577679,2616914378881,partial,685077,1,fulfilled,0,,,,,,,
5577679-11128,1227589812353,#5577679,2616914411649,partial,11128,1,pending,1,,,,,,,
5577679-20711,1227589812353,#5577679,2616914444417,partial,20711,1,fulfilled,0,,,,,,,
5577587-1061052,1227586797697,#5577587,2616906809473,partial,1061052,1,fulfilled,0,,,,,,,
5577587-684679,1227586797697,#5577587,2616906842241,partial,684679,1,fulfilled,0,,,,,,,
5577587-736198,1227586797697,#5577587,2616906875009,partial,736198,1,pending,1,,,,,,,
5577576-24395764,1227586437249,#5577576,2616906121345,fulfilled,24395764,2,fulfilled,0,,,,,,,
5577576-24395786,1227586437249,#5577576,2616906154113,fulfilled,24395786,3,fulfilled,0,,,,,,,
5577576-24395763,1227586437249,#5577576,2616906186881,fulfilled,24395763,2,fulfilled,0,,,,,,,
